episode 1: 0 total reward, 1001 steps, 0 epochs 
episode 2: 5106.434042683853 total reward, 101 steps, 101 epochs 
episode 3: 4472.860236141188 total reward, 101 steps, 202 epochs 
episode 4: 3303.1949063013853 total reward, 101 steps, 303 epochs 
episode 5: 3642.8398506253334 total reward, 101 steps, 404 epochs 
episode 6: 3613.8726561482204 total reward, 101 steps, 505 epochs 
episode 7: 3411.438358862949 total reward, 101 steps, 606 epochs 
episode 8: 3952.4073340042023 total reward, 101 steps, 707 epochs 
episode 9: 3765.485333360333 total reward, 101 steps, 808 epochs 
episode 10: 3402.5539037563144 total reward, 101 steps, 909 epochs 
episode 11: 3959.1911610070697 total reward, 101 steps, 1010 epochs 
episode 12: 3703.152411595236 total reward, 101 steps, 1111 epochs 
episode 13: 2840.4036006983256 total reward, 101 steps, 1212 epochs 
episode 14: 3755.935456377379 total reward, 101 steps, 1313 epochs 
episode 15: 2838.5642583991303 total reward, 101 steps, 1414 epochs 
episode 16: 3420.5415613039095 total reward, 101 steps, 1515 epochs 
episode 17: 3100.2952573529283 total reward, 101 steps, 1616 epochs 
episode 18: 2898.1234354540597 total reward, 101 steps, 1717 epochs 
episode 19: 3384.058796019192 total reward, 101 steps, 1818 epochs 
episode 20: 3396.4082266561018 total reward, 101 steps, 1919 epochs 
episode 21: 3074.2400299931296 total reward, 101 steps, 2020 epochs 
episode 22: 3309.6513760832618 total reward, 101 steps, 2121 epochs 
episode 23: 3334.499797305409 total reward, 101 steps, 2222 epochs 
episode 24: 3314.4226464598846 total reward, 101 steps, 2323 epochs 
episode 25: 3091.0278306058967 total reward, 101 steps, 2424 epochs 
episode 26: 4923.290923163444 total reward, 101 steps, 2525 epochs 
episode 27: 4433.034928790411 total reward, 101 steps, 2626 epochs 
episode 28: 5469.661919067356 total reward, 101 steps, 2727 epochs 
episode 29: 5778.915183196663 total reward, 101 steps, 2828 epochs 
episode 30: 567.8712611839125 total reward, 101 steps, 2929 epochs 
episode 31: 1690.4137937950443 total reward, 101 steps, 3030 epochs 
episode 32: 2211.331321339891 total reward, 101 steps, 3131 epochs 
episode 33: 2523.235668244156 total reward, 101 steps, 3232 epochs 
episode 34: 2374.774954414968 total reward, 101 steps, 3333 epochs 
episode 35: 2548.782647436026 total reward, 101 steps, 3434 epochs 
episode 36: 2544.147095820674 total reward, 101 steps, 3535 epochs 
episode 37: 2673.4230071285197 total reward, 101 steps, 3636 epochs 
episode 38: 3246.7385457329206 total reward, 101 steps, 3737 epochs 
episode 39: 3264.282005335349 total reward, 101 steps, 3838 epochs 
episode 40: 3241.223651007918 total reward, 101 steps, 3939 epochs 
episode 41: 3235.302314933358 total reward, 101 steps, 4040 epochs 
episode 42: 4547.8459812251085 total reward, 101 steps, 4141 epochs 
episode 43: 4525.889766186844 total reward, 101 steps, 4242 epochs 
episode 44: 4546.863042551168 total reward, 101 steps, 4343 epochs 
episode 45: 4059.2674205480844 total reward, 101 steps, 4444 epochs 
episode 46: 33002.48754880132 total reward, 52 steps, 4496 epochs 
episode 47: 4414.776123519638 total reward, 101 steps, 4597 epochs 
episode 48: -346.4957627782231 total reward, 101 steps, 4698 epochs 
episode 49: -294.1237844530783 total reward, 50 steps, 4748 epochs 
episode 50: -345.9827597154125 total reward, 50 steps, 4798 epochs 
episode 51: 79.7657923678027 total reward, 101 steps, 4899 epochs 
episode 52: -124.22054407971541 total reward, 50 steps, 4949 epochs 
episode 53: 557.083775221956 total reward, 101 steps, 5050 epochs 
episode 54: 166.79712000925332 total reward, 99 steps, 5149 epochs 
episode 55: 28.909148821483086 total reward, 50 steps, 5199 epochs 
episode 56: 2953.2485147799307 total reward, 101 steps, 5300 epochs 
episode 57: 563.8347904521515 total reward, 92 steps, 5392 epochs 
episode 58: 17.343126581667036 total reward, 50 steps, 5442 epochs 
episode 59: 67.28601271028569 total reward, 101 steps, 5543 epochs 
episode 60: 50.91213317802482 total reward, 50 steps, 5593 epochs 
episode 61: 666.3349009735782 total reward, 52 steps, 5645 epochs 
episode 62: 3156.996796023924 total reward, 101 steps, 5746 epochs 
episode 63: -96.85652518825907 total reward, 101 steps, 5847 epochs 
episode 64: 557.2256349031932 total reward, 54 steps, 5901 epochs 
episode 65: 655.4159358869678 total reward, 77 steps, 5978 epochs 
episode 66: 470.115592713758 total reward, 51 steps, 6029 epochs 
episode 67: 855.0884646555844 total reward, 81 steps, 6110 epochs 
episode 68: 3104.401727521433 total reward, 101 steps, 6211 epochs 
episode 69: 3186.877526823232 total reward, 101 steps, 6312 epochs 
episode 70: 4000.7102322769792 total reward, 101 steps, 6413 epochs 
episode 71: 22.21782169195353 total reward, 50 steps, 6463 epochs 
episode 72: 11.22340878940713 total reward, 50 steps, 6513 epochs 
episode 73: 42.256275425315096 total reward, 50 steps, 6563 epochs 
episode 74: 3212.7631465967893 total reward, 101 steps, 6664 epochs 
episode 75: 3145.9895138916086 total reward, 101 steps, 6765 epochs 
episode 76: 81.27016176319961 total reward, 50 steps, 6815 epochs 
episode 77: 3970.61383723796 total reward, 101 steps, 6916 epochs 
episode 78: 71.657516434211 total reward, 50 steps, 6966 epochs 
episode 79: 3308.5086579325166 total reward, 101 steps, 7067 epochs 
episode 80: 1804.4330153633784 total reward, 71 steps, 7138 epochs 
episode 81: 985.3697813498874 total reward, 80 steps, 7218 epochs 
episode 82: 1180.625632688544 total reward, 85 steps, 7303 epochs 
episode 83: 994.4620930723806 total reward, 82 steps, 7385 epochs 
episode 84: 78.70364338640456 total reward, 50 steps, 7435 epochs 
episode 85: 40.49063355156153 total reward, 50 steps, 7485 epochs 
episode 86: 250.69273500105737 total reward, 51 steps, 7536 epochs 
episode 87: 3240.6123000046937 total reward, 101 steps, 7637 epochs 
episode 88: 2771.3860252000445 total reward, 101 steps, 7738 epochs 
episode 89: 97.93381602388865 total reward, 50 steps, 7788 epochs 
episode 90: 910.7787963111651 total reward, 81 steps, 7869 epochs 
episode 91: 2971.0234703767455 total reward, 101 steps, 7970 epochs 
episode 92: 2902.879221068759 total reward, 101 steps, 8071 epochs 
episode 93: 2988.130450420349 total reward, 101 steps, 8172 epochs 
episode 94: 2987.924064603891 total reward, 101 steps, 8273 epochs 
episode 95: -669.5898381560887 total reward, 101 steps, 8374 epochs 
episode 96: 447.522873521971 total reward, 101 steps, 8475 epochs 
episode 97: -302.2587420413396 total reward, 101 steps, 8576 epochs 
episode 98: 2452.3907607193 total reward, 101 steps, 8677 epochs 
