episode 36752: -29009.594096505596 total reward, 92 steps, 92 epochs 
episode 36753: -10262.288662999305 total reward, 34 steps, 126 epochs 
episode 36754: -20907.53813157635 total reward, 68 steps, 194 epochs 
episode 36755: -8475.949369152995 total reward, 58 steps, 252 epochs 
episode 36756: 42715.05788670622 total reward, 60 steps, 312 epochs 
episode 36757: -5696.544843994688 total reward, 55 steps, 367 epochs 
episode 36758: 34874.46195807438 total reward, 31 steps, 398 epochs 
episode 36759: -9545.157825621858 total reward, 31 steps, 429 epochs 
episode 36760: -12681.743391831502 total reward, 53 steps, 482 epochs 
episode 36761: -7306.257589608214 total reward, 62 steps, 544 epochs 
episode 36762: -9119.533531479741 total reward, 32 steps, 576 epochs 
episode 36763: -10503.402771202062 total reward, 87 steps, 663 epochs 
episode 36764: -23595.56883359834 total reward, 75 steps, 738 epochs 
episode 36765: -306.7412955222999 total reward, 55 steps, 793 epochs 
episode 36766: -22389.521318971263 total reward, 71 steps, 864 epochs 
episode 36767: -19652.131375668752 total reward, 87 steps, 951 epochs 
episode 36768: -23871.97374138474 total reward, 67 steps, 1018 epochs 
episode 36769: -21239.758741899972 total reward, 76 steps, 1094 epochs 
episode 36770: -11592.317601681974 total reward, 54 steps, 1148 epochs 
episode 36771: 44023.44589044279 total reward, 63 steps, 1211 epochs 
episode 36772: 36671.93868684388 total reward, 48 steps, 1259 epochs 
episode 36773: -9606.089621039726 total reward, 43 steps, 1302 epochs 
episode 36774: -26574.995318129353 total reward, 86 steps, 1388 epochs 
episode 36775: -31405.423967376883 total reward, 82 steps, 1470 epochs 
episode 36776: 4164.666610949809 total reward, 69 steps, 1539 epochs 
episode 36777: -10048.05613553867 total reward, 64 steps, 1603 epochs 
episode 36778: -10886.484745052963 total reward, 81 steps, 1684 epochs 
episode 36779: 38336.073604117824 total reward, 40 steps, 1724 epochs 
episode 36780: 32077.883012477254 total reward, 3 steps, 1727 epochs 
episode 36781: -10741.258186587966 total reward, 67 steps, 1794 epochs 
episode 36782: -5461.996569086208 total reward, 43 steps, 1837 epochs 
episode 36783: -20183.71802100984 total reward, 79 steps, 1916 epochs 
episode 36784: -9588.84661966764 total reward, 34 steps, 1950 epochs 
episode 36785: -10434.092102015338 total reward, 26 steps, 1976 epochs 
episode 36786: -5494.814340325971 total reward, 54 steps, 2030 epochs 
episode 36787: -20262.8687352688 total reward, 73 steps, 2103 epochs 
